Performance Update 13-Nov to 10-Dec,,,,,,,,,,,,
83.7% 89.8%,,,,,,,,,,,,
Moving Annual Average PPM (Target - 91.1%),,,,,,,,,,,,
How we performed in YOUR area,,,,,,,,,,,,
,,,,"Express (other than
E&G) sector",,,"Edinburgh - Glasgow
Q St",Rural sector,East suburban sector,,"West suburban Peak
sector","West suburban Off
Peak sector"
PPM four weekly,,,,73.7%,,,80.4%,82.1%,83.2%,,73.3%,88.4%
PPM yearly,,,,84.7%,,,89.1%,84.4%,89.9%,,84.1%,92.3%
Trains ran/not cancelled four weekly,,,,99.0%,,,99.1%,99.0%,98.8%,,98.6%,99.2%
Trains ran/not cancelled yearly,,,,99.1%,,,99.2%,98.6%,98.7%,,98.8%,99.2%
"PPM (Public Performance Measure) is the percentage of booked services which arrive within 5 minutes of their booked arrival time, having called at all booked stations on the route",,,,,,,,,,,,
Unfortunately things don't always go to plan. The following incidents caused significant delays and cancellations,,,,,,,,,,,,
17/11/2016,,A train failure between Edinburgh and Haymarket,,,,,,,,,,
23/11/2016,,Damage to the overhead lines at Glasgow Exhibition Centre,,,,,,,,,,
02/12/2016,,A train failure at Charing Cross,,,,,,,,,,
24/11/2016,,A points failure at Glasgow Central,,,,,,,,,,
25/11/2016,,A signalling fault at Glasgow Central,,,,,,,,,,
24/11/2016,,A train failure at Hyndland,,,,,,,,,,
"Annual On Time Arrival at Destination
The table below shows the arrival times at terminal stations on the ScotRail network over a rolling 12 months",,,,,,,,,,,,
Location,,On Time_T,,Booked_T,On Time_A,PPM,Location,On Time_T,Booked_T,On Time_A,PPM,
Aberdeen,,,68.2%,34,70.7%,86.1%,Glenrothes,70.0%,41,65.7%,87.7%,
Airdrie,,,65.1%,38,58.0%,89.1%,Queen Street,56.1%,184,56.0%,89.8%,
Alloa,,,88.2%,19,88.2%,96.1%,Gourock,52.7%,57,52.7%,97.2%,
Anniesland,,,76.9%,36,48.6%,88.7%,Haymarket,54.6%,3,63.3%,90.3%,
Arbroath,,,9.6%,1,39.3%,70.0%,Helensburgh Central,51.9%,36,51.9%,87.4%,
Ardgay,,,50.5%,1,50.5%,84.7%,Invergordon,62.3%,1,43.3%,76.0%,
Ardrossan South Beach,,,61.2%,1,70.8%,95.1%,Inverness,54.6%,36,55.1%,78.1%,
Ardrossan Town,,,27.9%,3,65.0%,93.8%,Inverurie,72.2%,11,54.7%,86.5%,
Ardrossan Harbour,,,14.2%,16,14.1%,88.3%,Irvine,48.8%,1,63.9%,96.3%,
Ayr,,,73.1%,68,73.5%,93.2%,Kilmarnock,72.4%,27,66.4%,89.3%,
Balloch,,,42.9%,37,42.9%,84.1%,Kirkcaldy,67.0%,3,57.9%,88.0%,
