Performance Update 11-Dec to 07-Jan,,,,,,,,,,,
89.7% 90.0%,,,,,,,,,,,
Moving Annual Average PPM (Target - 91.1%),,,,,,,,,,,
How we performed in YOUR area,,,,,,,,,,,
,,,"Express (other than
E&G) sector",,,"Edinburgh - Glasgow
Q St",Rural sector,East suburban sector,,"West suburban Peak
sector","West suburban Off
Peak sector"
PPM four weekly,,,83.9%,,,88.9%,88.7%,88.9%,,83.6%,92.3%
PPM yearly,,,84.9%,,,89.0%,85.1%,90.2%,,84.2%,92.4%
Trains ran/not cancelled four weekly,,,99.3%,,,99.4%,99.1%,98.9%,,99.2%,99.4%
Trains ran/not cancelled yearly,,,99.1%,,,99.2%,98.7%,98.7%,,98.9%,99.2%
"PPM (Public Performance Measure) is the percentage of booked services which arrive within 5 minutes of their booked arrival time, having called at all booked stations on the route",,,,,,,,,,,
Unfortunately things don't always go to plan. The following incidents caused significant delays and cancellations,,,,,,,,,,,
31/12/2016,,,An overhead line fault at Hyndland,,,,,,,,
06/01/2017,,,An overhead line issue at Hyndland,,,,,,,,
14/12/2016,,,A track circuit failure at Hamilton,,,,,,,,
04/01/2017,,,A person struck by a train at Polmont,,,,,,,,
30/12/2016,,,An object struck by a train at Larbert,,,,,,,,
05/01/2017,,,A scooter thrown at a train at Airdrie,,,,,,,,
"Annual On Time Arrival at Destination
The table below shows the arrival times at terminal stations on the ScotRail network over a rolling 12 months",,,,,,,,,,,
Location,,On Time_T,Booked_T,On Time_A,PPM,Location,On Time_T,Booked_T,On Time_A,PPM,
Aberdeen,,67.9%,34,70.5%,86.3%,Glenrothes,71.2%,41,66.7%,88.4%,
Airdrie,,65.8%,38,57.9%,89.1%,Queen Street,56.2%,184,56.1%,90.0%,
Alloa,,88.8%,19,88.8%,96.3%,Gourock,52.6%,57,52.6%,97.2%,
Anniesland,,77.5%,36,49.2%,89.2%,Haymarket,53.7%,3,63.6%,90.4%,
Arbroath,,9.8%,1,39.3%,70.2%,Helensburgh Central,52.3%,36,52.3%,87.6%,
Ardgay,,50.5%,1,50.5%,84.8%,Invergordon,61.7%,1,43.2%,75.8%,
Ardrossan South Beach,,62.6%,1,71.2%,95.5%,Inverness,54.4%,36,54.9%,77.9%,
Ardrossan Town,,29.4%,3,65.6%,94.4%,Inverurie,71.8%,11,54.7%,86.7%,
Ardrossan Harbour,,15.3%,16,15.2%,88.8%,Irvine,51.2%,1,64.0%,96.4%,
Ayr,,73.3%,68,73.9%,93.5%,Kilmarnock,72.9%,27,67.1%,90.3%,
Balloch,,44.4%,37,44.4%,84.6%,Kirkcaldy,66.9%,3,58.2%,88.5%,
Barrhead,,71.8%,25,55.2%,92.9%,Kyle of Lochalsh,49.2%,4,49.2%,82.9%,
Bathgate,,51.3%,7,47.8%,87.9%,Lanark,46.8%,38,46.8%,89.0%,
Cardenden,,77.8%,1,60.2%,89.1%,Largs,36.4%,19,36.4%,90.0%,
Carlisle,,51.1%,13,55.9%,86.5%,Larkhall,47.2%,36,47.2%,91.1%,
Carnoustie,,29.0%,1,39.5%,84.3%,Lenzie,43.0%,1,72.8%,93.9%,
